iso_time,elapsed_s,training_id,event,label,hw_mode,lat,lng,yaw_deg,gps_fix,gps_ready,ref_mode,ref_path_len,ref_segment_idx,ref_progress_m,ref_cross_track_m,ref_along_segment_m,ref_segment_len_m,ref_heading_deg,ref_heading_error_deg,ref_dist_to_start_m,ref_dist_to_end_m,lidar_min_front_m,lidar_obstacle,pwm_l,pwm_r,enc_l,enc_r,wheel_speed_l_kph,wheel_speed_r_kph,wheel_speed_avg_kph,battery_soc_pct,battery_voltage_v,battery_current_a,battery_temp_c,battery_status,wp_idx,path_len,target_lat,target_lng,dist_to_target_m,gps_step_m,gps_speed_mps,gps_jump_flag,speed_valid,battery_valid,row_quality,quality_flags
2026-06-17T15:54:08.626,0.11,training_20260617_155408_line,SAMPLE,slip_turn,0,13.34176254272461,101.02135467529297,-110.74142920235265,4,True,LINE,3,1,10.349765270829621,-0.6578715513612945,8.063299580848911,8.063299580848911,68.62937772656517,-179.37080692891783,10.085575677976898,2.1061776491156077,1.6950000524520874,1,0,0,40,0,0.0,0.0,0.0,79,26.100000381469727,-1.600000023841858,40.0,0,0,3,13.34170913696289,101.02128601074219,9.51086160774965,,,0,1,1,GOOD,
2026-06-17T15:54:08.836,0.32,training_20260617_155408_line,SAMPLE,slip_turn,0,13.34176254272461,101.02135467529297,-110.75377818437204,4,True,LINE,3,1,10.349765270829621,-0.6578715513612945,8.063299580848911,8.063299580848911,68.62937772656517,-179.3831559109372,10.085575677976898,2.1061776491156077,1.4795000553131104,1,0,0,40,0,0.0,0.0,0.0,79,26.100000381469727,-1.600000023841858,40.0,0,0,3,13.34170913696289,101.02128601074219,9.51086160774965,0.0,0.0,0,1,1,GOOD,
2026-06-17T15:54:09.042,0.526,training_20260617_155408_line,SAMPLE,slip_turn,0,13.34176254272461,101.02135467529297,-110.75377818437204,4,True,LINE,3,1,10.349765270829621,-0.6578715513612945,8.063299580848911,8.063299580848911,68.62937772656517,-179.3831559109372,10.085575677976898,2.1061776491156077,1.6759999990463257,1,0,0,0,0,0.0,0.0,0.0,79,26.100000381469727,-1.7999999523162842,40.0,0,0,3,13.34170913696289,101.02128601074219,9.51086160774965,0.0,0.0,0,1,1,GOOD,
2026-06-17T15:54:09.456,0.94,training_20260617_155408_line,SAMPLE,slip_turn,0,13.34176254272461,101.02135467529297,-110.76454256250398,4,True,LINE,3,1,10.349765270829621,-0.6578715513612945,8.063299580848911,8.063299580848911,68.62937772656517,-179.39392028906914,10.085575677976898,2.1061776491156077,-1.0,1,0,0,0,0,0.0,0.0,0.0,79,26.100000381469727,-1.7999999523162842,40.0,0,0,3,13.34170913696289,101.02128601074219,9.51086160774965,0.0,0.0,0,1,1,GOOD,
2026-06-17T15:54:09.837,1.321,training_20260617_155408_line,SAMPLE,slip_turn,0,13.34176254272461,101.02135467529297,-110.7794323748946,4,True,LINE,3,1,10.349765270829621,-0.6578715513612945,8.063299580848911,8.063299580848911,68.62937772656517,-179.40881010145978,10.085575677976898,2.1061776491156077,1.6805000305175781,1,0,0,62752,-24,0.0,0.0,0.0,79,26.100000381469727,-1.7999999523162842,40.0,0,0,3,13.34170913696289,101.02128601074219,9.51086160774965,0.0,0.0,0,1,1,GOOD,
2026-06-17T15:54:10.042,1.526,training_20260617_155408_line,SAMPLE,slip_turn,0,13.34176254272461,101.02135467529297,-110.7794323748946,4,True,LINE,3,1,10.349765270829621,-0.6578715513612945,8.063299580848911,8.063299580848911,68.62937772656517,-179.40881010145978,10.085575677976898,2.1061776491156077,-1.0,1,0,0,62752,-24,0.0,0.0,0.0,79,26.100000381469727,-1.7999999523162842,40.0,0,0,3,13.34170913696289,101.02128601074219,9.51086160774965,0.0,0.0,0,1,1,GOOD,
2026-06-17T15:54:10.252,1.736,training_20260617_155408_line,SAMPLE,slip_turn,0,13.34176254272461,101.02135467529297,-110.78997135678392,4,True,LINE,3,1,10.349765270829621,-0.6578715513612945,8.063299580848911,8.063299580848911,68.62937772656517,-179.4193490833491,10.085575677976898,2.1061776491156077,-1.0,1,0,0,0,0,0.0,0.0,0.0,79,0.0,0.0,0.0,0,0,3,13.34170913696289,101.02128601074219,9.51086160774965,0.0,0.0,0,1,0,BAD,battery_invalid
2026-06-17T15:54:10.452,1.936,training_20260617_155408_line,SAMPLE,slip_turn,0,13.34176254272461,101.02135467529297,-110.78975962091965,4,True,LINE,3,1,10.349765270829621,-0.6578715513612945,8.063299580848911,8.063299580848911,68.62937772656517,-179.41913734748482,10.085575677976898,2.1061776491156077,1.4845000505447388,1,0,0,0,0,0.0,0.0,0.0,79,0.0,0.0,0.0,0,0,3,13.34170913696289,101.02128601074219,9.51086160774965,0.0,0.0,0,1,0,BAD,battery_invalid
2026-06-17T15:54:10.855,2.339,training_20260617_155408_line,SAMPLE,slip_turn,0,13.34176254272461,101.02135467529297,-111.07149809399351,4,True,LINE,3,1,10.349765270829621,-0.6578715513612945,8.063299580848911,8.063299580848911,68.62937772656517,-179.70087582055868,10.085575677976898,2.1061776491156077,1.6855000257492065,1,0,0,40,0,0.0,0.0,0.0,79,0.0,0.0,0.0,0,0,3,13.34170913696289,101.02128601074219,9.51086160774965,0.0,0.0,0,1,0,BAD,battery_invalid
2026-06-17T15:54:11.058,2.542,training_20260617_155408_line,SAMPLE,slip_turn,0,13.34176254272461,101.02135467529297,-110.82404034036395,4,True,LINE,3,1,10.349765270829621,-0.6578715513612945,8.063299580848911,8.063299580848911,68.62937772656517,-179.45341806692912,10.085575677976898,2.1061776491156077,-1.0,1,0,0,62752,-24,0.0,0.0,0.0,79,26.100000381469727,-2.5999999046325684,40.0,0,0,3,13.34170913696289,101.02128601074219,9.51086160774965,0.0,0.0,0,1,1,GOOD,
