iso_time,elapsed_s,training_id,event,label,hw_mode,lat,lng,yaw_deg,gps_fix,gps_ready,ref_mode,ref_path_len,ref_segment_idx,ref_progress_m,ref_cross_track_m,ref_along_segment_m,ref_segment_len_m,ref_heading_deg,ref_heading_error_deg,ref_dist_to_start_m,ref_dist_to_end_m,lidar_min_front_m,lidar_obstacle,pwm_l,pwm_r,enc_l,enc_r,wheel_speed_l_kph,wheel_speed_r_kph,wheel_speed_avg_kph,battery_soc_pct,battery_voltage_v,battery_current_a,battery_temp_c,battery_status,wp_idx,path_len,target_lat,target_lng,dist_to_target_m
2026-06-17T14:45:59.200,0.123,training_20260617_144559_grid,SAMPLE,test2,0,13.34196662902832,101.0215072631836,56.322989820543256,4,True,GRID,8,6,37.16062032897597,-15.914821320959824,8.097843684999873,8.097843684999873,68.82610647149124,-12.503116650947987,33.29723635656981,26.468763932305492,3.015749931335449,1,0,0,0,0,0.0,0.0,0.0,92,26.299999237060547,-1.2999999523162842,35.0,0,0,0,nan,nan,nan
2026-06-17T14:45:59.403,0.326,training_20260617_144559_grid,SAMPLE,test2,0,13.34196662902832,101.0215072631836,56.319564480674494,4,True,GRID,8,6,37.16062032897597,-15.914821320959824,8.097843684999873,8.097843684999873,68.82610647149124,-12.506541990816743,33.29723635656981,26.468763932305492,3.0142500400543213,1,0,0,0,0,0.0,0.0,0.0,92,26.299999237060547,-1.2999999523162842,35.0,0,0,0,nan,nan,nan
2026-06-17T14:45:59.612,0.535,training_20260617_144559_grid,SAMPLE,test2,0,13.34196662902832,101.0215072631836,56.31894634855461,4,True,GRID,8,6,37.16062032897597,-15.914821320959824,8.097843684999873,8.097843684999873,68.82610647149124,-12.507160122936625,33.29723635656981,26.468763932305492,3.012500047683716,1,0,0,0,0,0.0,0.0,0.0,92,26.299999237060547,-1.2999999523162842,35.0,0,0,0,nan,nan,nan
2026-06-17T14:45:59.812,0.735,training_20260617_144559_grid,SAMPLE,test2,0,13.34196662902832,101.0215072631836,56.320828065670945,4,True,GRID,8,6,37.16062032897597,-15.914821320959824,8.097843684999873,8.097843684999873,68.82610647149124,-12.505278405820292,33.29723635656981,26.468763932305492,3.018749952316284,1,0,0,35,0,0.0,0.0,0.0,92,26.299999237060547,-1.5,35.0,0,0,0,nan,nan,nan
2026-06-17T14:46:00.211,1.134,training_20260617_144559_grid,SAMPLE,test2,0,13.34196662902832,101.0215072631836,56.31556198982087,4,True,GRID,8,6,37.16062032897597,-15.914821320959824,8.097843684999873,8.097843684999873,68.82610647149124,-12.510544481670365,33.29723635656981,26.468763932305492,3.0152499675750732,1,0,0,0,0,0.0,0.0,0.0,92,26.299999237060547,-1.5,35.0,0,0,0,nan,nan,nan
2026-06-17T14:46:00.412,1.335,training_20260617_144559_grid,SAMPLE,test2,0,13.34196662902832,101.0215072631836,56.312922121706656,4,True,GRID,8,6,37.16062032897597,-15.914821320959824,8.097843684999873,8.097843684999873,68.82610647149124,-12.51318434978458,33.29723635656981,26.468763932305492,3.013000011444092,1,0,0,0,0,0.0,0.0,0.0,92,26.299999237060547,-1.5,35.0,0,0,0,nan,nan,nan
2026-06-17T14:46:00.615,1.538,training_20260617_144559_grid,SAMPLE,test2,0,13.34196662902832,101.02149963378906,56.31026517811952,4,True,GRID,8,6,37.16062032897597,-16.21297489221024,8.097843684999873,8.097843684999873,68.82610647149124,-12.515841293371722,32.769682866635144,26.042424367411208,3.0197501182556152,1,0,0,0,0,0.0,0.0,0.0,92,26.299999237060547,-1.5,35.0,0,0,0,nan,nan,nan
2026-06-17T14:46:00.817,1.74,training_20260617_144559_grid,SAMPLE,test2,0,13.34196662902832,101.02149963378906,56.30868057423208,4,True,GRID,8,6,37.16062032897597,-16.21297489221024,8.097843684999873,8.097843684999873,68.82610647149124,-12.517425897259159,32.769682866635144,26.042424367411208,3.015500068664551,1,0,0,0,0,0.0,0.0,0.0,92,26.299999237060547,-1.5,35.0,0,0,0,nan,nan,nan
2026-06-17T14:46:01.025,1.948,training_20260617_144559_grid,SAMPLE,test2,0,13.34196662902832,101.02149963378906,56.30868057423208,4,True,GRID,8,6,37.16062032897597,-16.21297489221024,8.097843684999873,8.097843684999873,68.82610647149124,-12.517425897259159,32.769682866635144,26.042424367411208,3.0185000896453857,1,0,0,0,0,0.0,0.0,0.0,92,26.299999237060547,-1.5,35.0,0,0,0,nan,nan,nan
2026-06-17T14:46:01.420,2.343,training_20260617_144559_grid,SAMPLE,test2,0,13.34196662902832,101.02149963378906,56.30690130995329,4,True,GRID,8,6,37.16062032897597,-16.21297489221024,8.097843684999873,8.097843684999873,68.82610647149124,-12.519205161537968,32.769682866635144,26.042424367411208,3.0172500610351562,1,0,0,0,0,0.0,0.0,0.0,92,26.299999237060547,-1.5,35.0,0,0,0,nan,nan,nan
